1,min time,max time
best

recommended
Flash Point: Fire Rescue,45,45
Grimslingers,15,90
Lunarchitects,45,60
Pandemic,45,45
10,min time,max time
best
Are You the Traitor?,30,30
Secret Hitler,45,45
recommended
Cards Against Humanity,30,30
The Resistance: Avalon,30,30
Ultimate Werewolf: Ultimate Edition,30,90
11,min time,max time
best
Ultimate Werewolf: Ultimate Edition,30,90
recommended
Cards Against Humanity,30,30
12,min time,max time
best
Ultimate Werewolf: Ultimate Edition,30,90
recommended
Cards Against Humanity,30,30
13,min time,max time
best
Ultimate Werewolf: Ultimate Edition,30,90
recommended
14,min time,max time
best
Ultimate Werewolf: Ultimate Edition,30,90
recommended
15,min time,max time
best
Ultimate Werewolf: Ultimate Edition,30,90
recommended
16,min time,max time
best
Ultimate Werewolf: Ultimate Edition,30,90
recommended
17,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
18,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
19,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
2,min time,max time
best
Control,5,15
Grimslingers,15,90
Hive,20,20
Race for the Galaxy,30,60
Rum & Bones,60,60
Star Wars: Rebellion,180,240
recommended
Above and Below,90,90
Century: Spice Road,30,45
City of Iron,120,120
Dominion Big Box (English),30,30
Euphoria: Build a Better Dystopia,60,60
Flash Point: Fire Rescue,45,45
Istanbul,40,60
Lunarchitects,45,60
Mechs vs. Minions,60,90
Pandemic,45,45
Puerto Rico,90,150
Ra,45,60
Settlers of Catan: Gallery Edition,60,60
Terra Mystica,60,150
Ticket to Ride,30,60
Tzolk'in: The Mayan Calendar,90,90
20,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
21,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
22,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
23,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
24,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
25,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
26,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
27,min time,max time
best

recommended
Ultimate Werewolf: Ultimate Edition,30,90
3,min time,max time
best
Above and Below,90,90
Century: Spice Road,30,45
Grimslingers,15,90
Lunarchitects,45,60
Ra,45,60
Settlers of Catan: Gallery Edition,60,60
recommended
7 Wonders,30,30
City of Iron,120,120
Control,5,15
Dead of Winter: A Crossroads Game,45,210
Dominion Big Box (English),30,30
The End is Nigh,15,20
Entropy,15,15
Euphoria: Build a Better Dystopia,60,60
Exploding Kittens,15,15
Exploding Kittens: NSFW Deck,10,20
Flash Point: Fire Rescue,45,45
Illuminati:  Deluxe Edition,60,180
Istanbul,40,60
King of New York,40,40
King of Tokyo,30,30
Mechs vs. Minions,60,90
Mysterium,42,42
Pandemic,45,45
Power Grid,120,120
Puerto Rico,90,150
Race for the Galaxy,30,60
Space Alert,30,30
Strain,60,60
Terra Mystica,60,150
Ticket to Ride,30,60
Tzolk'in: The Mayan Calendar,90,90
4,min time,max time
best
7 Wonders,30,30
Century: Spice Road,30,45
City of Iron,120,120
Dead of Winter: A Crossroads Game,45,210
The End is Nigh,15,20
Euphoria: Build a Better Dystopia,60,60
Exploding Kittens,15,15
Exploding Kittens: NSFW Deck,10,20
Flash Point: Fire Rescue,45,45
Grimslingers,15,90
Illuminati:  Deluxe Edition,60,180
Istanbul,40,60
King of New York,40,40
