1,min time,max time
best

recommended
Escape: The Curse of the Temple,10,10
Pandemic,45,45
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,60,120
10,min time,max time
best
Secret Hitler,45,45
recommended
2,min time,max time
best
7 Wonders Duel,30,30
The Castles of Burgundy,30,90
Neuroshima Hex!,30,30
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,60,120
recommended
Dominion,30,30
Dominion: Intrigue,30,30
Escape: The Curse of the Temple,10,10
Machi Koro,30,30
Pandemic,45,45
Pandemic Legacy: Season 1,60,60
Stone Age,60,90
Ticket to Ride,30,60
Tokaido,45,45
Tzolk'in: The Mayan Calendar,90,90
3,min time,max time
best
Dominion,30,30
Dominion: Intrigue,30,30
recommended
Betrayal at House on the Hill,60,60
The Castles of Burgundy,30,90
Catan,60,120
Dead of Winter: A Crossroads Game,45,210
Escape: The Curse of the Temple,10,10
Exploding Kittens,15,15
Machi Koro,30,30
Neuroshima Hex!,30,30
Pandemic,45,45
Pandemic Legacy: Season 1,60,60
Power Grid,120,120
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,60,120
Stone Age,60,90
Swamped,15,30
Ticket to Ride,30,60
Tokaido,45,45
Tzolk'in: The Mayan Calendar,90,90
4,min time,max time
best
Catan,60,120
Dead of Winter: A Crossroads Game,45,210
Escape: The Curse of the Temple,10,10
Exploding Kittens,15,15
Machi Koro,30,30
Pandemic,45,45
Pandemic Legacy: Season 1,60,60
Power Grid,120,120
Stone Age,60,90
Swamped,15,30
Ticket to Ride,30,60
Tokaido,45,45
Tzolk'in: The Mayan Calendar,90,90
recommended
Balderdash,60,60
Betrayal at House on the Hill,60,60
The Castles of Burgundy,30,90
Codenames,15,15
Curses!,25,25
Dominion,30,30
Dominion: Intrigue,30,30
Neuroshima Hex!,30,30
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,60,120
5,min time,max time
best
Balderdash,60,60
Betrayal at House on the Hill,60,60
Curses!,25,25
Exploding Kittens,15,15
Power Grid,120,120
recommended
Codenames,15,15
Dead of Winter: A Crossroads Game,45,210
Escape: The Curse of the Temple,10,10
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,60,120
Ticket to Ride,30,60
Tokaido,45,45
6,min time,max time
best
Balderdash,60,60
Betrayal at House on the Hill,60,60
Codenames,15,15
Curses!,25,25
recommended
Power Grid,120,120
Secret Hitler,45,45
6+,min time,max time
best
Balderdash,60,60
Curses!,25,25
recommended
7,min time,max time
best

recommended
Codenames,15,15
Secret Hitler,45,45
8,min time,max time
best
Codenames,15,15
Secret Hitler,45,45
recommended
8+,min time,max time
best

recommended
Codenames,15,15
9,min time,max time
best

recommended
Secret Hitler,45,45
